,Digit,Mean,std,Heigth,Width,h_w
0,0,,,19.0,19.0,19
1,0,0.3125,0.4638082959335204,19.0,19.0,19
2,0,,,19.0,13.0,13
3,0,,,19.0,17.0,17
4,0,0.33163265306122447,0.4711003263658589,19.0,19.0,19
5,0,0.1913265306122449,0.39359660714333106,19.0,19.0,19
6,0,,,15.0,19.0,19
7,0,,,19.0,11.0,11
8,0,,,17.0,19.0,19
9,0,,,19.0,15.0,15
10,0,,,19.0,19.0,19
11,0,,,19.0,13.0,13
12,0,,,19.0,19.0,19
13,0,,,19.0,19.0,19
14,0,,,17.0,19.0,19
15,0,,,19.0,15.0,15
16,0,,,17.0,19.0,19
17,0,0.23341836734693877,0.42327621839272445,19.0,15.0,15
18,0,,,19.0,17.0,17
19,0,,,16.0,19.0,19
20,0,,,19.0,19.0,19
21,0,,,19.0,14.0,14
22,0,,,16.0,19.0,19
23,0,0.3137755102040816,0.4643225533782829,19.0,15.0,15
24,0,,,19.0,16.0,16
25,0,,,19.0,10.0,10
26,0,,,19.0,19.0,19
27,0,,,18.0,19.0,19
28,0,,,19.0,19.0,19
29,0,,,19.0,11.0,11
30,0,,,19.0,16.0,16
31,0,,,17.0,19.0,19
32,0,,,19.0,15.0,15
33,0,,,19.0,19.0,19
34,0,,,19.0,15.0,15
35,0,,,19.0,17.0,17
36,0,,,19.0,17.0,17
37,0,,,19.0,19.0,19
38,0,,,19.0,19.0,19
39,0,,,19.0,19.0,19
40,0,,,19.0,15.0,15
41,0,,,19.0,17.0,17
42,0,,,19.0,19.0,19
43,0,,,19.0,19.0,19
44,0,,,19.0,19.0,19
45,0,,,19.0,15.0,15
46,0,,,19.0,17.0,17
47,0,,,17.0,19.0,19
48,0,,,18.0,19.0,19
49,0,,,19.0,18.0,18
50,0,,,19.0,19.0,19
51,0,,,19.0,13.0,13
52,0,,,17.0,19.0,19
53,0,,,19.0,16.0,16
54,0,0.26785714285714285,0.44312543738393345,19.0,19.0,19
55,0,,,19.0,17.0,17
56,0,,,19.0,15.0,15
57,0,,,17.0,19.0,19
58,0,,,19.0,15.0,15
59,0,,,17.0,19.0,19
60,0,,,19.0,13.0,13
61,0,,,19.0,19.0,19
62,0,,,13.0,19.0,19
63,0,0.2385204081632653,0.4264509207790475,19.0,19.0,19
64,0,,,17.0,19.0,19
65,0,,,19.0,13.0,13
66,0,,,19.0,19.0,19
67,0,,,19.0,19.0,19
68,0,,,19.0,18.0,18
69,0,0.14923469387755103,0.3565471221874263,15.0,19.0,19
70,0,,,19.0,19.0,19
71,0,,,19.0,16.0,16
72,0,,,19.0,13.0,13
73,0,,,19.0,17.0,17
74,0,,,19.0,19.0,19
75,0,,,17.0,19.0,19
76,0,,,19.0,15.0,15
77,0,,,19.0,11.0,11
78,0,,,19.0,13.0,13
79,0,,,15.0,19.0,19
80,0,,,15.0,19.0,19
81,0,,,19.0,15.0,15
82,0,,,19.0,15.0,15
83,0,,,19.0,18.0,18
84,0,,,19.0,15.0,15
85,0,,,19.0,19.0,19
86,0,,,19.0,19.0,19
87,0,,,19.0,19.0,19
88,0,,,19.0,16.0,16
89,0,,,19.0,17.0,17
90,0,,,19.0,16.0,16
91,0,,,19.0,19.0,19
92,0,,,19.0,17.0,17
93,0,,,19.0,17.0,17
94,0,,,19.0,15.0,15
95,0,,,19.0,15.0,15
96,0,,,17.0,19.0,19
97,0,,,19.0,14.0,14
98,0,0.24489795918367346,0.4303011981388305,19.0,19.0,19
99,0,,,19.0,19.0,19
100,0,,,17.0,19.0,19
101,0,,,19.0,19.0,19
102,0,,,19.0,13.0,13
103,0,,,17.0,19.0,19
104,0,,,19.0,19.0,19
105,0,,,19.0,15.0,15
106,0,,,18.0,19.0,19
107,0,,,19.0,13.0,13
108,0,0.2755102040816326,0.4470562090458512,13.0,19.0,19
109,0,,,19.0,19.0,19
110,0,0.3647959183673469,0.4816801789815294,19.0,17.0,17
111,0,0.1836734693877551,0.38746485921188956,17.0,19.0,19
112,0,,,19.0,17.0,17
113,0,,,19.0,17.0,17
114,0,0.2614795918367347,0.43972109422548283,19.0,13.0,13
115,0,,,19.0,15.0,15
116,0,,,15.0,19.0,19
117,0,,,17.0,19.0,19
118,0,,,19.0,15.0,15
119,0,,,19.0,19.0,19
120,0,,,19.0,13.0,13
121,0,,,19.0,15.0,15
122,0,,,19.0,9.0,9
123,0,,,19.0,19.0,19
124,0,,,19.0,13.0,13
125,0,,,19.0,19.0,19
126,0,,,19.0,13.0,13
